Date,Close
5/2/17,55.95
5/3/17,55.06
5/4/17,55.19
5/5/17,55.15
5/8/17,54.94
5/9/17,55.32
5/10/17,55.14
5/11/17,55.14
5/12/17,55.03
5/15/17,55.1
5/16/17,54.39
5/17/17,54.41
5/18/17,53.78
5/19/17,54.02
5/22/17,54.1
5/23/17,54.21
5/24/17,53.82
5/25/17,54.39
5/26/17,53.97
5/30/17,53.93
5/31/17,53.95
6/1/17,54.53
6/2/17,54.97
6/5/17,52.36
6/6/17,51.66
6/7/17,52.57
6/8/17,52.85
6/9/17,53.75
6/12/17,54.36
6/13/17,54.19
6/14/17,54.52
6/15/17,54.28
6/16/17,54.46
6/19/17,55.22
6/20/17,55.66
6/21/17,56.07
6/22/17,57.33
6/23/17,56.64
6/26/17,56.92
6/27/17,55.9
6/28/17,55.87
6/29/17,55.82
6/30/17,55.72
7/3/17,56.27
7/5/17,56.35
7/6/17,55.28
7/7/17,55.91
7/10/17,55.93
7/11/17,55.33
7/12/17,55.04
7/13/17,54.67
7/14/17,55.15
7/17/17,54.79
7/18/17,54.74
7/19/17,55.07
7/20/17,55.44
7/21/17,55.65
7/24/17,55.6
7/25/17,55.95
7/26/17,55.98
7/27/17,54.24
7/28/17,55.27
7/31/17,56.9
8/1/17,56.11
8/2/17,55.23
8/3/17,55.5
8/4/17,55.95
8/7/17,56.3
8/8/17,56.91
8/9/17,57.4
8/10/17,56.59
8/11/17,56.73
8/14/17,57.62
8/15/17,57.87
8/16/17,57.5
8/17/17,56.77
8/18/17,56.42
8/21/17,56.64
8/22/17,57.67
8/23/17,57.87
8/24/17,58.17
8/25/17,58.37
8/28/17,58.58
8/29/17,58.86
8/30/17,59.38
8/31/17,60.48
9/1/17,59.9
9/5/17,59.81
9/6/17,59.87
9/7/17,62.84
9/8/17,62.62
9/11/17,62.72
9/12/17,63.02
9/13/17,62.48
9/14/17,62.69
9/15/17,62.48
9/18/17,62.7
9/19/17,62.93
9/20/17,63.49
9/21/17,63.33
9/22/17,63.36
9/25/17,63.19
9/26/17,62.93
9/27/17,62.95
9/28/17,63.01
